# To measure flux divietions for ICCP rebutle Original cloud is unknown
32, 32, 64 # nx,ny,nz
0.050, 0.050 # dx,dy [km, km]
0.000, 0.040, 0.080, 0.120, 0.160, 0.200, 0.240, 0.280, 0.320, 0.360, 0.400, 0.440, 0.480, 0.520, 0.560, 0.600, 0.640, 0.680, 0.720, 0.760, 0.800, 0.840, 0.880, 0.920, 0.960, 1.000, 1.040, 1.080, 1.120, 1.160, 1.200, 1.240, 1.280, 1.320, 1.360, 1.400, 1.440, 1.480, 1.520, 1.560, 1.600, 1.640, 1.680, 1.720, 1.760, 1.800, 1.840, 1.880, 1.920, 1.960, 2.000, 2.040, 2.080, 2.120, 2.160, 2.200, 2.240, 2.280, 2.320, 2.360, 2.400, 2.440, 2.480, 2.520 # altitude levels [km]
x,y,z,lwc,reff,veff
4 ,19 ,20 ,0.02050 ,10.000 ,0.10000
4 ,19 ,21 ,0.03804 ,10.000 ,0.10000
4 ,19 ,22 ,0.06479 ,10.000 ,0.10000
4 ,19 ,23 ,0.02245 ,10.000 ,0.10000
4 ,19 ,24 ,0.01559 ,10.000 ,0.10000
4 ,20 ,16 ,0.04016 ,10.000 ,0.10000
4 ,20 ,18 ,0.01993 ,10.000 ,0.10000
4 ,20 ,19 ,0.13400 ,10.000 ,0.10000
4 ,20 ,20 ,0.01566 ,10.000 ,0.10000
4 ,20 ,21 ,0.01676 ,10.000 ,0.10000
4 ,20 ,22 ,0.01512 ,10.000 ,0.10000
4 ,21 ,30 ,0.01645 ,10.000 ,0.10000
4 ,21 ,31 ,0.02335 ,10.000 ,0.10000
5 ,2 ,18 ,0.05458 ,10.000 ,0.10000
5 ,3 ,17 ,0.02828 ,10.000 ,0.10000
5 ,3 ,18 ,0.09221 ,10.000 ,0.10000
5 ,3 ,19 ,0.02053 ,10.000 ,0.10000
5 ,4 ,17 ,0.02203 ,10.000 ,0.10000
5 ,4 ,18 ,0.05435 ,10.000 ,0.10000
5 ,13 ,17 ,0.02314 ,10.000 ,0.10000
5 ,14 ,14 ,0.02509 ,10.000 ,0.10000
5 ,14 ,15 ,0.02844 ,10.000 ,0.10000
5 ,14 ,16 ,0.05447 ,10.000 ,0.10000
5 ,14 ,17 ,0.04804 ,10.000 ,0.10000
5 ,15 ,15 ,0.03895 ,10.000 ,0.10000
5 ,15 ,16 ,0.13444 ,10.000 ,0.10000
5 ,15 ,17 ,0.13454 ,10.000 ,0.10000
5 ,15 ,18 ,0.02188 ,10.000 ,0.10000
5 ,15 ,19 ,0.02248 ,10.000 ,0.10000
5 ,16 ,14 ,0.04416 ,10.000 ,0.10000
5 ,16 ,15 ,0.04491 ,10.000 ,0.10000
5 ,16 ,16 ,0.13322 ,10.000 ,0.10000
5 ,16 ,17 ,0.13363 ,10.000 ,0.10000
5 ,16 ,18 ,0.13416 ,10.000 ,0.10000
5 ,16 ,19 ,0.13462 ,10.000 ,0.10000
5 ,16 ,20 ,0.02228 ,10.000 ,0.10000
5 ,17 ,14 ,0.04515 ,10.000 ,0.10000
5 ,17 ,15 ,0.04495 ,10.000 ,0.10000
5 ,17 ,16 ,0.10196 ,10.000 ,0.10000
5 ,17 ,17 ,0.13357 ,10.000 ,0.10000
5 ,17 ,18 ,0.08917 ,10.000 ,0.10000
5 ,17 ,19 ,0.13456 ,10.000 ,0.10000
5 ,17 ,20 ,0.09134 ,10.000 ,0.10000
5 ,17 ,21 ,0.00972 ,10.000 ,0.10000
5 ,18 ,15 ,0.02744 ,10.000 ,0.10000
5 ,18 ,16 ,0.06303 ,10.000 ,0.10000
5 ,18 ,17 ,0.13402 ,10.000 ,0.10000
5 ,18 ,18 ,0.01424 ,10.000 ,0.10000
5 ,18 ,20 ,0.01369 ,10.000 ,0.10000
5 ,18 ,21 ,0.01682 ,10.000 ,0.10000
5 ,18 ,22 ,0.01738 ,10.000 ,0.10000
5 ,19 ,15 ,0.02623 ,10.000 ,0.10000
5 ,19 ,16 ,0.13182 ,10.000 ,0.10000
5 ,19 ,17 ,0.02494 ,10.000 ,0.10000
5 ,19 ,18 ,0.12985 ,10.000 ,0.10000
5 ,19 ,19 ,0.19652 ,10.000 ,0.10000
5 ,19 ,20 ,0.16432 ,10.000 ,0.10000
5 ,19 ,21 ,0.13274 ,10.000 ,0.10000
5 ,19 ,22 ,0.13367 ,10.000 ,0.10000
5 ,19 ,23 ,0.09681 ,10.000 ,0.10000
5 ,20 ,15 ,0.03920 ,10.000 ,0.10000
5 ,20 ,16 ,0.08879 ,10.000 ,0.10000
5 ,20 ,17 ,0.02522 ,10.000 ,0.10000
5 ,20 ,18 ,0.01140 ,10.000 ,0.10000
5 ,20 ,19 ,0.19004 ,10.000 ,0.10000
5 ,20 ,20 ,0.04464 ,10.000 ,0.10000
5 ,20 ,21 ,0.09059 ,10.000 ,0.10000
5 ,20 ,22 ,0.02161 ,10.000 ,0.10000
5 ,21 ,18 ,0.01366 ,10.000 ,0.10000
6 ,2 ,18 ,0.02371 ,10.000 ,0.10000
6 ,3 ,17 ,0.02111 ,10.000 ,0.10000
6 ,3 ,18 ,0.07291 ,10.000 ,0.10000
6 ,3 ,19 ,0.04813 ,10.000 ,0.10000
6 ,4 ,17 ,0.02825 ,10.000 ,0.10000
6 ,4 ,18 ,0.06056 ,10.000 ,0.10000
6 ,14 ,14 ,0.02678 ,10.000 ,0.10000
6 ,14 ,15 ,0.04053 ,10.000 ,0.10000
6 ,14 ,16 ,0.04701 ,10.000 ,0.10000
6 ,14 ,17 ,0.06650 ,10.000 ,0.10000
6 ,15 ,14 ,0.04499 ,10.000 ,0.10000
6 ,15 ,15 ,0.04439 ,10.000 ,0.10000
6 ,15 ,16 ,0.13344 ,10.000 ,0.10000
6 ,15 ,17 ,0.16502 ,10.000 ,0.10000
6 ,15 ,18 ,0.10287 ,10.000 ,0.10000
6 ,15 ,19 ,0.02130 ,10.000 ,0.10000
6 ,16 ,14 ,0.04454 ,10.000 ,0.10000
6 ,16 ,15 ,0.08795 ,10.000 ,0.10000
6 ,16 ,16 ,0.13179 ,10.000 ,0.10000
6 ,16 ,17 ,0.13175 ,10.000 ,0.10000
6 ,16 ,18 ,0.18998 ,10.000 ,0.10000
6 ,16 ,19 ,0.19098 ,10.000 ,0.10000
6 ,16 ,20 ,0.13454 ,10.000 ,0.10000
6 ,17 ,14 ,0.04464 ,10.000 ,0.10000
6 ,17 ,15 ,0.08806 ,10.000 ,0.10000
6 ,17 ,16 ,0.13162 ,10.000 ,0.10000
6 ,17 ,17 ,0.19016 ,10.000 ,0.10000
6 ,17 ,18 ,0.15116 ,10.000 ,0.10000
6 ,17 ,19 ,0.17741 ,10.000 ,0.10000
6 ,17 ,20 ,0.17264 ,10.000 ,0.10000
6 ,17 ,21 ,0.04645 ,10.000 ,0.10000
6 ,18 ,14 ,0.04463 ,10.000 ,0.10000
6 ,18 ,15 ,0.13198 ,10.000 ,0.10000
6 ,18 ,16 ,0.13240 ,10.000 ,0.10000
6 ,18 ,17 ,0.18986 ,10.000 ,0.10000
6 ,18 ,18 ,0.06169 ,10.000 ,0.10000
6 ,18 ,19 ,0.01549 ,10.000 ,0.10000
6 ,18 ,20 ,0.01403 ,10.000 ,0.10000
6 ,18 ,21 ,0.01469 ,10.000 ,0.10000
6 ,18 ,22 ,0.01543 ,10.000 ,0.10000
6 ,18 ,23 ,0.02321 ,10.000 ,0.10000
6 ,19 ,14 ,0.04470 ,10.000 ,0.10000
6 ,19 ,15 ,0.13165 ,10.000 ,0.10000
6 ,19 ,16 ,0.13121 ,10.000 ,0.10000
6 ,19 ,17 ,0.02100 ,10.000 ,0.10000
6 ,19 ,18 ,0.18709 ,10.000 ,0.10000
6 ,19 ,19 ,0.18783 ,10.000 ,0.10000
6 ,19 ,20 ,0.18958 ,10.000 ,0.10000
6 ,19 ,21 ,0.18820 ,10.000 ,0.10000
6 ,19 ,22 ,0.08783 ,10.000 ,0.10000
6 ,19 ,23 ,0.13375 ,10.000 ,0.10000
6 ,20 ,14 ,0.03815 ,10.000 ,0.10000
